,y,y_dummy,y_hat
2017-02-03,150.0,197.7194799797362,164.34053157195004
2017-02-04,155.0,197.70214320226856,154.19583509847632
2017-02-05,165.0,197.6866320714286,146.46479832087962
2017-02-06,169.0,197.6747611318712,153.20451116027385
2017-02-07,159.0,197.66434909079203,157.4562096494648
2017-02-08,153.0,197.65031229678564,155.07251594308192
2017-02-09,158.0,197.63410528687754,156.55986262485308
2017-02-10,141.0,197.6197216522243,161.3578457374694
2017-02-11,179.0,197.59917748616766,152.50322697536595
2017-02-12,148.0,197.59243009727373,142.1170277462754
2017-02-13,169.0,197.57444227351698,153.82485846579158
2017-02-14,155.0,197.56407982844956,154.77872343622096
2017-02-15,150.0,197.5486468770977,155.25579825388937
2017-02-16,182.0,197.53140973847994,160.93229130796172
2017-02-17,191.0,197.52578037648695,162.96829297374194
2017-02-18,170.0,197.52341553489376,157.43223779380872
2017-02-19,166.0,197.51344328288832,152.41915530661115
2017-02-20,149.0,197.5020274367435,165.04513747574347
2017-02-21,164.0,197.4844606031916,161.5525532142402
2017-02-22,144.0,197.4723351421729,156.73288008821422
2017-02-23,122.0,197.45297513669055,158.83014754958828
2017-02-24,155.0,197.42566184252345,160.81759645054956
2017-02-25,122.0,197.4103069160513,153.4968185409143
2017-02-26,126.0,197.38301894539237,142.08486438256367
2017-02-27,143.0,197.35719296169285,148.63909421828572
2017-02-28,151.0,197.33753038511057,153.3481238777652
2017-03-01,141.0,197.32077178460963,145.35951689738664
2017-03-02,136.0,197.3004062912867,142.25300085384814
2017-03-03,163.0,197.27824417766,150.8360921162931
2017-03-04,138.0,197.26585370443482,144.68605767821643
2017-03-05,144.0,197.24443489210938,146.26044492785007
2017-03-06,166.0,197.22519571057654,150.7823784227002
2017-03-07,156.0,197.21391493177939,152.05649872458736
2017-03-08,143.0,197.1990282007222,146.01427430956593
2017-03-09,154.0,197.17945469830227,150.05598892901347
2017-03-10,157.0,197.16386363323704,156.95546604465568
2017-03-11,133.0,197.1493640434777,151.76754514385496
2017-03-12,99.0,197.12620960780058,149.51101072565285
2017-03-13,123.0,197.0907977674513,147.5983439649831
2017-03-14,98.0,197.06406466344,146.05229123934294
2017-03-15,136.0,197.02832726637527,135.72991937197116
2017-03-16,149.0,197.00631524572012,140.08429903621703
2017-03-17,152.0,196.98900319550526,152.2083013802973
2017-03-18,137.0,196.97278217398176,153.15809255210263
2017-03-19,101.0,196.95116256973736,137.0371340008073
2017-03-20,135.0,196.91657934300468,140.15396296914523
2017-03-21,141.0,196.89426706216034,137.38320090808205
2017-03-22,144.0,196.87412861248927,148.05477369794673
2017-03-23,130.0,196.85508173618794,144.44414134898238
2017-03-24,161.0,196.8310028304663,152.74648616287735
2017-03-25,152.0,196.81810005667063,140.9940878375419
2017-03-26,157.0,196.8019639270373,141.14746223093397
2017-03-27,150.0,196.78763636622844,148.0920045819814
2017-03-28,151.0,196.770797195321,144.37034563073848
2017-03-29,168.0,196.75432695523634,154.44974193855893
2017-03-30,166.0,196.74398181152154,151.6913945831637
2017-03-31,180.0,196.7329228252584,165.85848644284414
2017-04-01,187.0,196.72690487063682,151.8635020221207
2017-04-02,144.0,196.72340724213248,153.9298919271601
2017-04-03,158.0,196.70445221526128,154.41587257143303
2017-04-04,133.0,196.69053975939673,153.30533392589703
2017-04-05,151.0,196.6676500775425,155.85074390930194
2017-04-06,165.0,196.65124057338247,152.71206729448724
2017-04-07,162.0,196.63986955108194,170.761129422348
2017-04-08,157.0,196.62742706920295,154.61237840196122
2017-04-09,155.0,196.61319563552755,147.03336522269214
2017-04-10,127.0,196.59825373404263,151.67363790969998
2017-04-11,176.0,196.57326782352962,147.91157564072594
2017-04-12,173.0,196.56588330528714,145.3190700651791
2017-04-13,158.0,196.55742614278745,150.82202386598738
2017-04-14,165.0,196.54359140071972,167.47108391953256
2017-04-15,164.0,196.53227531411852,155.95609474781318
2017-04-16,116.0,196.5206066357419,152.39853572090098
2017-04-17,159.0,196.4917306785478,154.5276349507473
2017-04-18,156.0,196.47828796407003,152.40728025181096
2017-04-19,179.0,196.46377701660123,155.3140657938646
2017-04-20,187.0,196.45751759831575,154.36218613141696
2017-04-21,192.0,196.4541284144425,162.77104102065135
2017-04-22,140.0,196.45253252464872,158.3252052972293
2017-04-23,155.0,196.4323095146095,151.46207004525755
2017-04-24,158.0,196.41746986220454,157.12921046152766
2017-04-25,179.0,196.40371248714195,154.74392468126308
2017-04-27,174.0,196.39748129756546,163.08847875066976
2017-04-28,176.0,196.38946358455397,161.5869789602575
2017-04-29,140.0,196.3821659955831,157.41170566094746
2017-04-30,129.0,196.36198987606417,152.3127511891928
2017-05-01,181.0,196.33788898523196,157.35206781071415
2017-05-02,153.0,196.3324023499305,157.09029331434527
2017-05-03,163.0,196.31690435195128,157.27153276187113
2017-05-04,187.0,196.30499056530655,165.58062441616417
2017-05-05,158.0,196.30166378998825,173.14954926332064
2017-05-06,175.0,196.2879723998935,154.57074000385802
2017-05-07,141.0,196.28036411812084,145.5672489948654
2017-05-08,171.0,196.2606105486665,161.7596948254407
2017-05-09,169.0,196.25158567887416,159.52590271135364
2017-05-10,159.0,196.24185123140896,170.26120868447958
2017-05-11,174.0,196.22855057025487,172.9822703859573
2017-05-12,212.0,196.22061321957813,168.78663313649113
2017-05-13,157.0,196.2262467028985,161.62622699084625
2017-05-14,148.0,196.21224483007936,151.04696770912454
2017-05-15,198.0,196.19503846147478,168.22393958944357
2017-05-16,172.0,196.19568251554742,164.85754813451987
2017-05-17,187.0,196.18705044900602,174.3204073243828
2017-05-18,181.0,196.18377345580143,178.5105574890237
2017-05-19,192.0,196.1783584153393,181.25454500032637
2017-05-20,159.0,196.1768685389209,167.93543129421047
2017-05-21,154.0,196.16361475334554,156.46989865033052
2017-05-22,183.0,196.14858584058368,179.22655980945825
2017-05-23,166.0,196.14389995824564,170.5914902280226
2017-05-24,206.0,196.13315921356073,170.76966790339102
2017-05-25,172.0,196.1366742975602,178.00095794943775
2017-05-26,180.0,196.12807708498752,185.61701964067203
2017-05-27,171.0,196.12233346779203,172.5258565381382
2017-05-28,131.0,196.1133883606289,158.75416240709407
