,y,y_hat,dummy
2016-11-03,161.0,182.34256480143364,216.95750969887308
2016-11-04,196.0,191.40459493336294,216.94717399335056
2016-11-05,201.0,177.76472308163028,216.9433056325023
2016-11-06,165.0,171.14759512646856,216.94036189069425
2016-11-07,174.0,184.21412855513745,216.9307734908621
2016-11-08,137.0,176.45525308745223,216.92284976005905
2016-11-09,192.0,174.23540395868653,216.90810112566894
2016-11-10,181.0,171.91849864334878,216.90350553505536
2016-11-11,191.0,187.3696698746298,216.89688249400479
2016-11-12,178.0,172.41532816550722,216.89210623386205
2016-11-13,149.0,163.2696494529778,216.88493453807857
2016-11-14,163.0,182.99121944955746,216.87241887905606
2016-11-15,154.0,164.9655590584247,216.86248847926268
2016-11-17,201.0,166.9159308422854,216.8509030593439
2016-11-18,190.0,184.43759919761735,216.84798231066887
2016-11-19,171.0,163.34367036338406,216.84303610906412
2016-11-20,143.0,158.97137346762057,216.83459200589428
2016-11-21,187.0,172.89671966849676,216.82099447513812
2016-11-22,178.0,155.99547283218934,216.815503590499
2016-11-23,172.0,184.8724285270039,216.80835787923417
2016-11-24,98.0,172.9303712030773,216.8001104362231
2016-11-25,184.0,185.47972874754757,216.77824806772176
2016-11-26,185.0,160.56070149898474,216.77221711131554
2016-11-27,151.0,151.5258332189619,216.76637233259748
2016-11-28,195.0,172.6621616056255,216.75427625528783
2016-11-29,174.0,158.85149008322415,216.75027583670467
2016-11-30,181.0,178.67895274522084,216.74241588527303
2016-12-01,198.0,183.73526687686442,216.7358455882353
2016-12-02,203.0,180.57332175812022,216.73240213196104
2016-12-03,195.0,173.5458700280696,216.72987872105844
2016-12-04,143.0,157.74394560211368,216.72588645967298
2016-12-05,156.0,185.82368194346256,216.7123438648053
2016-12-06,171.0,174.69158173171448,216.7011937557392
2016-12-07,160.0,178.9216498501267,216.69280205655528
2016-12-08,169.0,171.85866737151602,216.6823939783367
2016-12-09,149.0,182.92075585787316,216.6736417033774
2016-12-10,143.0,175.69294108254263,216.66122224261332
2016-12-11,119.0,154.81949156828665,216.64770642201836
2016-12-12,137.0,169.37714313376995,216.6297926985874
2016-12-13,140.0,164.404128324126,216.61518708730742
2016-12-14,165.0,162.04287550643974,216.6011369888135
2016-12-15,145.0,153.15404825163824,216.59167583425008
2016-12-16,172.0,172.67028243505342,216.57855178735105
2016-12-17,176.0,148.84840759581198,216.57038123167155
2016-12-18,96.0,144.6631470874812,216.5629466739967
2016-12-19,145.0,154.18896349393017,216.54085745694394
2016-12-20,188.0,152.5247853663223,216.5277523355926
2016-12-21,181.0,155.0963684014428,216.52252747252749
2016-12-22,176.0,140.60249159951104,216.516022706464
2016-12-23,186.0,152.70131735190594,216.5086049066276
2016-12-24,147.0,160.25452114029352,216.50302031850632
2016-12-25,77.0,148.34198312469525,216.4903001464129
2016-12-26,155.0,151.50223185274217,216.4647758462946
2016-12-27,148.0,152.34417916872286,216.45353091840468
2016-12-28,171.0,148.59006672402955,216.44100969453083
2016-12-29,139.0,144.45315102499836,216.432699341624
2016-12-30,167.0,162.32972069340556,216.41854086670324
2016-12-31,153.0,147.90563622930247,216.40950639853747
2017-01-01,179.0,154.23146041788695,216.39791628587096
2017-01-02,120.0,147.81271995247508,216.39108187134502
2017-01-03,147.0,156.19559022604074,216.37346976064316
2017-01-04,158.0,151.967735444898,216.36079649251005
2017-01-05,131.0,154.04402538154062,216.35013698630138
2017-01-06,120.0,163.04226196312965,216.3345507669832
2017-01-07,120.0,147.4492120439283,216.3169618404236
2017-01-08,104.0,143.4306752293472,216.29937933552392
2017-01-09,156.0,132.31103073538708,216.27888300784815
2017-01-10,151.0,138.76357171782925,216.26788321167882
2017-01-11,146.0,148.3608085694483,216.25597518700968
2017-01-12,150.0,144.04040858519082,216.24315943086464
2017-01-13,188.0,153.44489311721247,216.2310778770746
2017-01-14,133.0,142.28640067016187,216.22592997811816
2017-01-15,145.0,141.76065179566913,216.21075660893345
2017-01-16,162.0,145.644869999881,216.1977761574918
2017-01-17,184.0,147.58908885498477,216.18789866958264
2017-01-18,166.0,151.54999820062784,216.1820335276968
2017-01-19,168.0,152.8740565015447,216.17289123701948
2017-01-20,184.0,167.00418926275864,216.16411657559198
2017-01-21,191.0,154.138577132457,216.15825896922237
2017-01-22,168.0,145.66917408293625,216.1536780772032
2017-01-23,196.0,157.26439909457073,216.1449117058074
2017-01-24,180.0,154.8560311311034,216.1412449945395
2017-01-25,187.0,163.35940602016078,216.1346678798908
2017-01-26,168.0,158.05058522848276,216.12936681222706
2017-01-27,175.0,167.59998537148934,216.1206112424959
2017-01-28,168.0,158.4490503319332,216.11313204801746
2017-01-29,125.0,151.1999022676449,216.1043826150209
2017-01-30,170.0,164.74670491968803,216.0878181818182
2017-01-31,166.0,159.69990510472581,216.07944010179966
2017-02-01,176.0,158.27124016364144,216.07033805888767
2017-02-02,163.0,148.12050270437987,216.06305651462839
2017-02-03,150.0,162.74774174170383,216.0534156976744
2017-02-04,155.0,152.08285860890672,216.04141689373296
2017-02-05,165.0,144.87270223093225,216.03033054849254
2017-02-06,169.0,154.05158620485193,216.02106410023606
2017-02-07,159.0,155.05003410952105,216.01252723311546
2017-02-08,153.0,153.55516936025174,216.00217825376657
2017-02-09,158.0,156.32989110684582,215.9907441016334
2017-02-10,141.0,160.66406503510242,215.98022137543094
