,y,y_hat
2016-11-14,163.0,182.99121944955746
2016-11-15,154.0,164.9655590584247
2016-11-17,201.0,166.9159308422854
2016-11-18,190.0,184.43759919761735
2016-11-19,171.0,163.34367036338406
2016-11-20,143.0,158.97137346762057
2016-11-21,187.0,172.89671966849676
2016-11-22,178.0,155.99547283218934
2016-11-23,172.0,184.8724285270039
2016-11-24,98.0,172.9303712030773
2016-11-25,184.0,185.47972874754757
2016-11-26,185.0,160.56070149898474
2016-11-27,151.0,151.5258332189619
2016-11-28,195.0,172.6621616056255
2016-11-29,174.0,158.85149008322415
2016-11-30,181.0,178.67895274522084
2016-12-01,198.0,183.73526687686442
2016-12-02,203.0,180.57332175812022
2016-12-03,195.0,173.5458700280696
2016-12-04,143.0,157.74394560211368
2016-12-05,156.0,185.82368194346256
2016-12-06,171.0,174.69158173171448
2016-12-07,160.0,178.9216498501267
2016-12-08,169.0,171.85866737151602
2016-12-09,149.0,182.92075585787316
2016-12-10,143.0,175.69294108254263
2016-12-11,119.0,154.81949156828665
2016-12-12,137.0,169.37714313376995
2016-12-13,140.0,164.404128324126
2016-12-14,165.0,162.04287550643974
2016-12-15,145.0,153.15404825163824
2016-12-16,172.0,172.67028243505342
2016-12-17,176.0,148.84840759581198
2016-12-18,96.0,144.6631470874812
2016-12-19,145.0,154.18896349393017
2016-12-20,188.0,152.5247853663223
2016-12-21,181.0,155.0963684014428
2016-12-22,176.0,140.60249159951104
2016-12-23,186.0,152.70131735190594
2016-12-24,147.0,160.25452114029352
2016-12-25,77.0,148.34198312469525
2016-12-26,155.0,151.50223185274217
2016-12-27,148.0,152.34417916872286
2016-12-28,171.0,148.59006672402955
2016-12-29,139.0,144.45315102499836
2016-12-30,167.0,162.32972069340556
2016-12-31,153.0,147.90563622930247
2017-01-01,179.0,154.23146041788695
2017-01-02,120.0,147.81271995247508
2017-01-03,147.0,156.19559022604074
2017-01-04,158.0,151.967735444898
2017-01-05,131.0,154.04402538154062
2017-01-06,120.0,163.04226196312965
2017-01-07,120.0,147.4492120439283
2017-01-08,104.0,143.4306752293472
2017-01-09,156.0,132.31103073538708
2017-01-10,151.0,138.76357171782925
2017-01-11,146.0,148.3608085694483
2017-01-12,150.0,144.04040858519082
2017-01-13,188.0,153.44489311721247
2017-01-14,133.0,142.28640067016187
2017-01-15,145.0,141.76065179566913
2017-01-16,162.0,145.644869999881
2017-01-17,184.0,147.58908885498477
2017-01-18,166.0,151.54999820062784
2017-01-19,168.0,152.8740565015447
2017-01-20,184.0,167.00418926275864
2017-01-21,191.0,154.138577132457
2017-01-22,168.0,145.66917408293625
2017-01-23,196.0,157.26439909457073
2017-01-24,180.0,154.8560311311034
2017-01-25,187.0,163.35940602016078
2017-01-26,168.0,158.05058522848276
2017-01-27,175.0,167.59998537148934
2017-01-28,168.0,158.4490503319332
2017-01-29,125.0,151.1999022676449
2017-01-30,170.0,164.74670491968803
2017-01-31,166.0,159.69990510472581
2017-02-01,176.0,158.27124016364144
2017-02-02,163.0,148.12050270437987
2017-02-03,150.0,162.74774174170383
2017-02-04,155.0,152.08285860890672
2017-02-05,165.0,144.87270223093225
2017-02-06,169.0,154.05158620485193
2017-02-07,159.0,155.05003410952105
2017-02-08,153.0,153.55516936025174
2017-02-09,158.0,156.32989110684582
2017-02-10,141.0,160.66406503510242
2017-02-11,179.0,154.68499809011143
2017-02-12,148.0,143.53421040152128
2017-02-13,169.0,152.60008707388192
2017-02-14,155.0,155.6393963085923
2017-02-15,150.0,156.11974808845324
2017-02-16,182.0,161.10464534629435
2017-02-17,191.0,160.84115879398794
2017-02-18,170.0,157.20275289246473
2017-02-19,166.0,150.69055641942106
2017-02-20,149.0,162.5717352267522
2017-02-21,164.0,162.34360470771958
2017-02-22,144.0,158.68362264965688
2017-02-23,122.0,160.74864077158847
2017-02-24,155.0,159.80835307334334
2017-02-25,122.0,152.45687301696688
2017-02-26,126.0,143.1178200884932
2017-02-27,143.0,148.70157975843827
2017-02-28,151.0,152.0431397483665
2017-03-01,141.0,146.90993723736983
2017-03-02,136.0,142.8403124545052
2017-03-03,163.0,152.2452929244116
2017-03-04,138.0,145.22223650422276
2017-03-05,144.0,146.20774190881616
2017-03-06,166.0,151.28618668452197
2017-03-07,156.0,151.38192784033217
2017-03-08,143.0,148.11186570721017
2017-03-09,154.0,148.13502090817772
2017-03-10,157.0,157.06109080191936
2017-03-11,133.0,153.6032381101197
2017-03-12,99.0,149.546715991262
2017-03-13,123.0,149.1361395604973
2017-03-14,98.0,150.0800531668787
2017-03-15,136.0,137.26609934301135
2017-03-16,149.0,141.49882263787157
2017-03-17,152.0,150.03874847052595
2017-03-18,137.0,147.55301750609277
2017-03-19,101.0,137.36097083288286
2017-03-20,135.0,142.0982936353021
2017-03-21,141.0,136.03049887327919
2017-03-22,144.0,145.19429320593704
2017-03-23,130.0,144.03964999235683
2017-03-24,161.0,152.6323403480451
2017-03-25,152.0,141.62045306708254
2017-03-26,157.0,141.64415505923625
2017-03-27,150.0,147.28782768843215
2017-03-28,151.0,146.0102117043944
2017-03-29,168.0,154.8280587446833
2017-03-30,166.0,150.69170648447061
2017-03-31,180.0,166.59141399508988
2017-04-01,187.0,152.4652408744408
2017-04-02,144.0,155.66643905865786
2017-04-03,158.0,153.09658886640628
2017-04-04,133.0,152.36242645374998
2017-04-05,151.0,155.70688338660318
2017-04-06,165.0,151.31053422279302
2017-04-07,162.0,169.23963087231178
2017-04-08,157.0,154.6851817096689
2017-04-09,155.0,147.14696119888433
2017-04-10,127.0,150.67022650352067
2017-04-11,176.0,148.38780997991836
2017-04-12,173.0,146.10218432469236
2017-04-13,158.0,151.86789680789374
2017-04-14,165.0,164.18432503213893
2017-04-15,164.0,155.57953429838975
2017-04-16,116.0,151.45818376466806
2017-04-17,159.0,151.83159374031672
2017-04-18,156.0,152.9277389345226
2017-04-19,179.0,155.57232343536725
2017-04-20,187.0,154.03381173453315
2017-04-21,192.0,161.35962058209566
2017-04-22,140.0,157.07012087999348
2017-04-23,155.0,149.65445681042095
2017-04-24,158.0,157.95287596905536
2017-04-25,179.0,155.29601342166313
2017-04-27,174.0,161.25737500921613
2017-04-28,176.0,161.28769616988885
2017-04-29,140.0,158.30463061869142
2017-04-30,129.0,149.76956736783114
2017-05-01,181.0,157.1403009687604
2017-05-02,153.0,158.77060735201817
2017-05-03,163.0,158.11810466730938
2017-05-04,187.0,164.08342859717473
2017-05-05,158.0,169.66956896535916
2017-05-06,175.0,156.70685505171917
2017-05-07,141.0,147.17363542498921
2017-05-08,171.0,160.7635845984547
2017-05-09,169.0,158.78672035169785
2017-05-10,159.0,169.5087979127216
2017-05-11,174.0,170.59935293052354
2017-05-12,212.0,168.15130053637498
2017-05-13,157.0,161.08503479711175
2017-05-14,148.0,152.53414917002303
2017-05-15,198.0,167.64842673397507
2017-05-16,172.0,164.4800879924827
2017-05-17,187.0,173.6432730987025
2017-05-18,181.0,176.13638363170892
2017-05-19,192.0,180.76269700813933
2017-05-20,159.0,164.4374878652408
2017-05-21,154.0,156.5922968098797
2017-05-22,183.0,175.45123723318088
2017-05-23,166.0,169.0683585814258
2017-05-24,206.0,168.1246765479018
2017-05-25,172.0,183.32995114013193
2017-05-26,180.0,183.80526838121258
2017-05-27,171.0,169.86437913328444
2017-05-28,131.0,156.59295518374046
2017-05-29,148.0,180.80444709333685
2017-05-30,189.0,163.2762214250626
2017-05-31,158.0,172.77517463212266
2017-06-01,186.0,173.11254394132652
2017-06-02,207.0,174.36749674548284
2017-06-03,189.0,166.37713393299347
2017-06-04,164.0,153.33903589192994
2017-06-05,179.0,174.62244765973333
2017-06-06,196.0,170.2026188321123
2017-06-07,189.0,178.24974427949263
2017-06-08,188.0,180.0331103391276
2017-06-09,186.0,188.77716346960167
2017-06-10,207.0,176.0622397074813
2017-06-11,197.0,163.4576904616215
2017-06-12,179.0,178.68114453969488
2017-06-13,204.0,182.50684609946123
2017-06-14,205.0,177.25371933286436
2017-06-15,196.0,180.48391357001717
2017-06-16,193.0,189.37374119907014
2017-06-17,198.0,188.66495512873428
2017-06-18,178.0,176.5154022492576
2017-06-19,173.0,177.17840225875094
2017-06-20,184.0,192.017601452671
2017-06-21,191.0,186.07775821629198
2017-06-22,219.0,187.22719988281534
2017-06-23,205.0,184.95570085870537
2017-06-24,190.0,186.89922855699
2017-06-25,177.0,176.21419232881811
2017-06-26,191.0,175.51308888139351
2017-06-27,194.0,190.15238777137014
2017-06-28,158.0,188.62923861543467
2017-06-29,196.0,193.09499422202725
2017-06-30,200.0,188.26417574754655
2017-07-01,199.0,184.8698100612509
2017-07-02,162.0,177.26316326312815
2017-07-03,214.0,175.63293583289055
2017-07-04,165.0,187.27258948756895
2017-07-05,179.0,184.480162635097
2017-07-06,196.0,191.71515116188024
2017-07-07,175.0,193.32873193069952
2017-07-08,176.0,183.38700393802463
2017-07-09,190.0,174.51108695536402
2017-07-10,192.0,182.43660514840187
2017-07-11,200.0,183.2327865694498
2017-07-12,192.0,185.60074343075559
2017-07-13,211.0,191.9765445087996
2017-07-14,203.0,194.77205014749327
2017-07-15,217.0,191.61716035742103
2017-07-16,170.0,176.86716280875737
2017-07-17,239.0,188.98001904380916
2017-07-18,203.0,196.23723914134936
2017-07-19,208.0,188.85084160753155
2017-07-20,195.0,198.69185779840143
2017-07-21,214.0,196.24584265135357
2017-07-22,179.0,194.91061283822785
2017-07-23,181.0,187.18942114125036
2017-07-24,165.0,202.74490116151674
2017-07-25,224.0,194.41426602321704
2017-07-26,178.0,187.16847476709236
2017-07-27,216.0,192.810555071397
2017-07-28,243.0,193.04195073260303
2017-07-29,167.0,199.96537400484723
2017-07-30,176.0,195.44823657133185
2017-07-31,213.0,195.52679881910484
2017-08-01,234.0,190.3525972884043
2017-08-02,180.0,190.21171733122375
2017-08-03,229.0,194.65351656230735
2017-08-04,304.0,207.54952389802895
2017-08-05,309.0,192.8885476273863
2017-08-06,225.0,210.1094463695673
2017-08-07,178.0,204.89366273393915
2017-08-08,196.0,182.18363139974826
2017-08-09,211.0,195.0830961777385
2017-08-10,197.0,198.60721726977204
2017-08-11,209.0,206.0227448014155
2017-08-12,206.0,195.26133347955792
2017-08-13,164.0,186.72703087740157
2017-08-14,232.0,195.67160110925053
2017-08-15,235.0,204.8053991359315
2017-08-16,219.0,195.32728337629516
2017-08-17,194.0,201.36041974312667
2017-08-18,212.0,213.12848391645073
2017-08-19,222.0,206.7536596017122
2017-08-20,172.0,187.59866663510994
2017-08-21,191.0,199.86123662937027
2017-08-22,204.0,206.36051938025633
2017-08-23,185.0,203.91951215066007
2017-08-24,226.0,201.46910169243614
2017-08-25,184.0,206.71611603461474
2017-08-26,195.0,207.2273638977657
2017-08-27,176.0,187.87016878701684
2017-08-28,179.0,198.60855181265225
2017-08-29,170.0,198.94437483056544
2017-08-30,210.0,191.007678425648
2017-08-31,142.0,197.58058813169788
2017-09-01,173.0,190.56131408165945
2017-09-02,178.0,191.88904775858373
2017-09-03,160.0,179.8025329314113
2017-09-04,135.0,186.95008230155176
2017-09-05,152.0,181.55539652205317
2017-09-06,159.0,183.6396374727766
2017-09-07,187.0,179.74448686982655
2017-09-08,165.0,175.62765113714505
2017-09-09,185.0,180.29039291646274
